"id","latitude","longitude","price","accommodates","room_type","host_id"
"19711493",-3.70802881396777,40.4239227012147,95,3,"Entire home/apt","airbnb5591974"
"12877898",-3.70911697328293,40.4230214407555,35,2,"Private room","airbnb64887162"
"20282083",-3.70917791129702,40.4231543153515,20,1,"Private room","airbnb56246204"
"12287460",-3.70898073892184,40.4234296137773,55,3,"Entire home/apt","airbnb21075213"
"16389441",-3.70912440632739,40.4234733381268,55,4,"Entire home/apt","airbnb55650301"
"16162644",-3.7089414320534,40.4236687710947,71,3,"Entire home/apt","airbnb102567181"
"12124316",-3.70924078162875,40.4240312573259,33,2,"Private room","airbnb64887162"
"3307784",-3.7098210223372,40.4237163257819,35,4,"Entire home/apt","airbnb16703345"
"754645",-3.7094874160398,40.4233290373356,50,4,"Entire home/apt","airbnb3961575"
"15609946",-3.70932036940473,40.4232052387018,65,3,"Private room","airbnb100642625"
"12103267",-3.70999190687817,40.4230496320753,31,2,"Private room","airbnb64887162"
"23619213",-3.71022628519929,40.4237656798134,102,6,"Entire home/apt","airbnb2541550"
"23573460",-3.71031144260771,40.4235498975486,75,4,"Entire home/apt","airbnb2541550"
"23561612",-3.70994235885934,40.4238491599848,70,3,"Entire home/apt","airbnb2541550"
"22943146",-3.71032051623993,40.4239428269564,19,1,"Shared room","airbnb169887820"
"23118654",-3.71036388424088,40.4240756771163,50,4,"Entire home/apt","airbnb171784080"
"23509044",-3.7092865231198,40.4246474608465,114,2,"Entire home/apt","airbnb31127756"
"22943528",-3.70958285626219,40.4250499430251,19,1,"Shared room","airbnb169887820"
"22943729",-3.70955659737158,40.4247644289908,19,1,"Shared room","airbnb169887820"
"19126802",-3.70939659730861,40.4247752052839,95,4,"Entire home/apt","airbnb5301512"
"22197404",-3.7102290909732,40.4252417628234,172,3,"Entire home/apt","airbnb159558182"
"8791706",-3.71026002912534,40.4252724881531,26,16,"Shared room","airbnb22127357"
"8745807",-3.7114371390349,40.4252182110502,11,16,"Shared room","airbnb22127357"
"8778343",-3.71153356265695,40.4250145648379,25,2,"Private room","airbnb22127357"
"8762148",-3.71087266678765,40.4242089725875,25,16,"Shared room","airbnb22127357"
"24006648",-3.71071114482221,40.4246501764754,64,2,"Private room","airbnb12425325"
"19992352",-3.71062001150942,40.4233194208194,154,4,"Entire home/apt","airbnb133056146"
"15652288",-3.71070590454372,40.4232419604707,99,6,"Entire home/apt","airbnb54310958"
"12734077",-3.71110180356883,40.4229598958525,70,2,"Entire home/apt","airbnb26196935"
"13875148",-3.71165946883503,40.422941001572,115,4,"Entire home/apt","airbnb17769261"
"19685649",-3.71139429280323,40.4239109575253,110,4,"Entire home/apt","airbnb137795776"
"9808381",-3.711951997781,40.4237586130235,25,16,"Shared room","airbnb22127357"
"10381178",-3.71264231592513,40.4231959187416,30,2,"Private room","airbnb28403498"
"18834708",-3.71272902893293,40.4235280961443,120,5,"Entire home/apt","airbnb131024851"
"23895448",-3.71302152973231,40.4238822659992,38,2,"Private room","airbnb176038391"
"15167127",-3.71279583972977,40.4241499150393,28,2,"Private room","airbnb96147078"
"18594844",-3.71270502399554,40.4245201222888,45,2,"Entire home/apt","airbnb129126542"
"23537916",-3.71271600813143,40.4246450657225,191,4,"Entire home/apt","airbnb26521943"
"7273472",-3.71215237156476,40.4248185168701,24,2,"Private room","airbnb22127357"
"8783003",-3.7120091935398,40.4251085847955,11,16,"Shared room","airbnb22127357"
"8924741",-3.71270453378294,40.4251393404356,26,2,"Private room","airbnb22127357"
"6597408",-3.71271502750731,40.4249843691985,180,4,"Entire home/apt","airbnb3566146"
"15156420",-3.71271460060717,40.4247607497726,28,2,"Private room","airbnb96147078"
"19110101",-3.71296610707758,40.4248034567705,50,2,"Private room","airbnb133523783"
"8807681",-3.71303810551078,40.4248533007248,21,2,"Private room","airbnb22127357"
"15194284",-3.71289816770181,40.4248704790405,11,10,"Shared room","airbnb96147078"
"9291812",-3.71290153813726,40.4250604260995,129,4,"Entire home/apt","airbnb3566146"
"18764321",-3.71184400551914,40.4263771738937,67,4,"Entire home/apt","airbnb102947901"
"7255012",-3.71181973991046,40.4256750617062,24,2,"Private room","airbnb22127357"
"9808817",-3.71228636927071,40.42578621233,25,16,"Shared room","airbnb22127357"
"8782947",-3.71210908486019,40.4255699456894,25,16,"Shared room","airbnb22127357"
"20054606",-3.71222179886753,40.425521665129,55,3,"Entire home/apt","airbnb142491405"
"8782885",-3.7119395139535,40.4256291339403,25,16,"Shared room","airbnb22127357"
"19271569",-3.71149947042565,40.4254449043151,100,2,"Entire home/apt","airbnb125228256"
"750515",-3.71140845180171,40.4254071133834,80,5,"Entire home/apt","airbnb3945807"
"8826970",-3.71099837849371,40.4255621325063,25,2,"Private room","airbnb22127357"
"8783056",-3.7109819914175,40.4255345916908,25,16,"Shared room","airbnb22127357"
"19095127",-3.71056395450154,40.425881305321,28,1,"Private room","airbnb130905768"
"14609730",-3.71097087202136,40.426144546552,25,1,"Private room","airbnb7797688"
"4237758",-3.71054766704799,40.4260795757127,100,5,"Entire home/apt","airbnb16210790"
"9810649",-3.71149943308772,40.4261088438356,41,5,"Entire home/apt","airbnb38588119"
"15659354",-3.71177976800366,40.4264690283755,60,4,"Entire home/apt","airbnb3528174"
"16186831",-3.71127449230877,40.4278770900389,90,3,"Entire home/apt","airbnb23849920"
"17630909",-3.71191394589024,40.4269243489151,100,6,"Entire home/apt","airbnb54310958"
"20489676",-3.71184436481323,40.4268190586427,21,2,"Private room","airbnb97886238"
"16446666",-3.71263024850484,40.4280547616864,25,8,"Shared room","airbnb35224923"
"16373504",-3.7128853604897,40.4287442089838,102,4,"Private room","airbnb35224923"
"16659094",-3.71292825666403,40.4285539326561,57,2,"Private room","airbnb35224923"
"16373736",-3.71247349808393,40.4294034011972,25,1,"Entire home/apt","airbnb35224923"
"10353002",-3.71015370707375,40.4279402066905,76,2,"Entire home/apt","airbnb35238495"
"13551272",-3.7102406421814,40.4284380885711,90,6,"Entire home/apt","airbnb12272843"
"18236739",-3.71032130708097,40.4286951570023,35,1,"Private room","airbnb5253925"
"19481396",-3.70980528894648,40.4289564871354,153,3,"Entire home/apt","airbnb24710143"
"20013737",-3.7098680022304,40.4291512628809,34,2,"Private room","airbnb2102270"
"12983112",-3.70953740476273,40.4281877454756,80,4,"Entire home/apt","airbnb71480663"
"23163500",-3.70904158297481,40.4282222723508,102,4,"Entire home/apt","airbnb36047607"
"17276412",-3.70876731412688,40.4282177904697,34,2,"Private room","airbnb22480234"
"19436669",-3.70813711894133,40.4281057713901,50,2,"Entire home/apt","airbnb136257470"
"14004526",-3.70815501383955,40.4286264353615,45,2,"Entire home/apt","airbnb23103277"
"4334151",-3.70875595655724,40.428644980521,36,6,"Entire home/apt","airbnb10481055"
"1308117",-3.7080733997946,40.4301969371433,64,2,"Entire home/apt","airbnb7108328"
"9382851",-3.70869324865439,40.4300304873583,64,2,"Entire home/apt","airbnb7108328"
"9382520",-3.70918608753131,40.4302153268853,50,2,"Entire home/apt","airbnb7108328"
"20740110",-3.70941373163479,40.4293632243988,47,4,"Entire home/apt","airbnb121447925"
"13667037",-3.7099751776043,40.4304978426722,50,2,"Entire home/apt","airbnb7108328"
"13667541",-3.71018912115756,40.4310015534229,60,3,"Entire home/apt","airbnb7108328"
"1359886",-3.71024360921124,40.4307803947391,70,4,"Entire home/apt","airbnb7108328"
"22695114",-3.71047244170329,40.4310491451511,45,2,"Entire home/apt","airbnb152145070"
"5358575",-3.7102778850414,40.4312140332491,70,3,"Entire home/apt","airbnb7108328"
"1358887",-3.71017416921936,40.4315024666953,67,4,"Private room","airbnb7108328"
"1322977",-3.71007060341419,40.4311992512013,70,4,"Entire home/apt","airbnb7108328"
"2200811",-3.71011988911615,40.4311081654527,60,3,"Entire home/apt","airbnb7108328"
"1358968",-3.7096069408753,40.4315488292142,60,3,"Private room","airbnb7108328"
"18819507",-3.70945228829995,40.4315585933508,35,3,"Private room","airbnb127979358"
"9380844",-3.70935378437333,40.4315651026398,50,2,"Entire home/apt","airbnb7108328"
"1308251",-3.70954447096537,40.4313838132698,50,2,"Private room","airbnb7108328"
"13667261",-3.7094156371991,40.4309295575788,70,4,"Entire home/apt","airbnb7108328"
"1323495",-3.70959080726047,40.4308058383582,53,3,"Private room","airbnb7108328"
"13663719",-3.70873301082273,40.4311031605315,64,2,"Entire home/apt","airbnb7108328"
"1359703",-3.70872294061692,40.4309423168657,89,4,"Entire home/apt","airbnb7108328"
"5352524",-3.70807622387793,40.4307222619737,89,4,"Entire home/apt","airbnb7108328"
"13664039",-3.708514523989,40.430885279758,47,2,"Entire home/apt","airbnb7108328"
"2162875",-3.70858486492324,40.4309154426517,64,2,"Entire home/apt","airbnb7108328"
"13667893",-3.70847370582718,40.4312187611268,76,3,"Entire home/apt","airbnb7108328"
"1359043",-3.70844534739388,40.4314867592007,64,2,"Entire home/apt","airbnb7108328"
"1359967",-3.70867104729138,40.4316377770454,64,2,"Private room","airbnb7108328"
"18761796",-3.70968855664152,40.4329786977171,84,6,"Entire home/apt","airbnb102947901"
"24070112",-3.70991351717408,40.432955438049,48,2,"Entire home/apt","airbnb49772159"
"8156946",-3.7101003883546,40.4330089008569,29,1,"Private room","airbnb43060504"
"24099364",-3.71024438995637,40.4328205232219,57,2,"Entire home/apt","airbnb181487360"
"709733",-3.71083641816383,40.4327514033095,40,2,"Private room","airbnb3651857"
"20566154",-3.71079985138238,40.4321780056617,70,4,"Entire home/apt","airbnb109649331"
"18108452",-3.71190943489472,40.4311874296544,47,4,"Entire home/apt","airbnb57631899"
"18837027",-3.71235689922982,40.4307786539145,90,6,"Entire home/apt","airbnb47903618"
"19682156",-3.71285357303102,40.4308115997147,18,4,"Private room","airbnb33117108"
"18621957",-3.71251994548893,40.4311401029533,60,5,"Entire home/apt","airbnb107439928"
"19706121",-3.7128221815537,40.4317120928154,35,1,"Private room","airbnb138583472"
"19761197",-3.71266410842869,40.4319187292522,35,1,"Private room","airbnb138583472"
"6536182",-3.71257682084852,40.431854269841,150,3,"Entire home/apt","airbnb34160267"
"14038158",-3.71220341351882,40.4319475023909,19,1,"Private room","airbnb83012478"
"16032097",-3.7118804209291,40.4317796522207,200,2,"Private room","airbnb104301212"
"19378668",-3.71185869541139,40.4327072310623,100,6,"Entire home/apt","airbnb127807319"
"18238937",-3.7125961524998,40.4328026781745,120,3,"Entire home/apt","airbnb34160267"
"23899771",-3.71360701194416,40.4320942761678,191,6,"Entire home/apt","airbnb14472608"
"13843709",-3.71364867617689,40.4322135675647,60,2,"Entire home/apt","airbnb1424863"
"19705352",-3.71415217677243,40.4318628949169,35,1,"Private room","airbnb138583472"
"20316328",-3.71401617642503,40.4326485152848,18,2,"Private room","airbnb87876015"
"10149530",-3.71451958485684,40.4326561168764,100,4,"Entire home/apt","airbnb8418335"
"23826373",-3.71534333937281,40.4323727631228,51,2,"Private room","airbnb71164324"
"23891395",-3.71547087705967,40.4323819395833,37,1,"Private room","airbnb65068845"
"11576456",-3.71493015563221,40.4320309841136,55,2,"Private room","airbnb32248375"
"19705958",-3.71438590183744,40.4320357435663,35,1,"Private room","airbnb138583472"
"19706050",-3.71442731213182,40.4314692020452,35,1,"Private room","airbnb138583472"
"20144344",-3.71491869502002,40.43099318987,35,3,"Entire home/apt","airbnb143287020"
"18436675",-3.71503319958668,40.4305135611929,78,2,"Private room","airbnb125152859"
"13741588",-3.71418421944604,40.4308403924871,20,2,"Private room","airbnb80450320"
"11227763",-3.71399461706377,40.4314268167445,54,2,"Private room","airbnb58516639"
"20089230",-3.71323462011485,40.4314705446798,30,2,"Private room","airbnb133114428"
